Time (s)	Fret_1	Idl_1	Donor_1	Acceptor_1
1.830000e+01	8.131480e-01	0	9.816167e+01	4.271830e+02	
1.835000e+01	7.985167e-01	0	9.664623e+01	3.830274e+02	
1.840000e+01	8.533341e-01	0	6.689392e+01	3.892036e+02	
1.845000e+01	8.434861e-01	0	7.408669e+01	3.992685e+02	
1.850000e+01	8.410811e-01	0	7.786075e+01	4.120794e+02	
1.855000e+01	7.681704e-01	0	1.330152e+02	4.407475e+02	
1.860000e+01	8.207261e-01	0	9.871635e+01	4.519291e+02	
1.865000e+01	7.474487e-01	0	1.369188e+02	4.052236e+02	
1.870000e+01	8.034034e-01	0	1.012695e+02	4.138438e+02	
1.875000e+01	8.217138e-01	0	8.382137e+01	3.863293e+02	
1.880000e+01	7.816485e-01	0	1.061186e+02	3.798804e+02	
1.885000e+01	7.986382e-01	0	9.599515e+01	3.807344e+02	
1.890000e+01	7.940433e-01	0	1.001311e+02	3.860443e+02	
1.895000e+01	8.433008e-01	0	7.207056e+01	3.878588e+02	
19	8.002632e-01	0	1.031085e+02	4.131133e+02	
1.905000e+01	7.737406e-01	0	1.232494e+02	4.214765e+02	
1.910000e+01	8.079379e-01	0	8.843866e+01	3.720303e+02	
1.915000e+01	7.936252e-01	0	9.811009e+01	3.772875e+02	
1.920000e+01	7.695782e-01	0	1.156761e+02	3.863428e+02	
1.925000e+01	7.878696e-01	0	1.099682e+02	4.084306e+02	
1.930000e+01	8.138796e-01	0	9.519776e+01	4.162872e+02	
1.935000e+01	7.446074e-01	0	1.257647e+02	3.666721e+02	
1.940000e+01	5.074593e-01	0	2.459283e+02	2.533772e+02	
1.945000e+01	4.886694e-01	0	2.725117e+02	2.604344e+02	
1.950000e+01	4.196120e-01	0	2.920797e+02	2.111693e+02	
1.955000e+01	2.249373e-01	0	3.152932e+02	9.150386e+01	
1.960000e+01	2.311221e-01	0	3.985283e+02	1.197962e+02	
1.965000e+01	2.016227e-01	0	4.001905e+02	1.010644e+02	
1.970000e+01	2.181936e-01	0	3.902108e+02	1.089036e+02	
1.975000e+01	2.235390e-01	0	4.141881e+02	1.192426e+02	
1.980000e+01	2.451764e-01	0	3.948374e+02	1.282483e+02	
