Time (s)	Fret_1	Idl_1	Donor_1	Acceptor_1
1.885000e+01	0	0	4.209771e+00	-5.458383e-02	
1.890000e+01	0	0	1.904789e+01	-1.326707e+01	
1.895000e+01	0	0	-1.159159e+01	2.968298e+01	
19	0	0	9.165981e+00	-1.514976e+01	
1.905000e+01	0	0	6.426649e+00	-1.551378e+01	
1.910000e+01	0	0	-1.348532e+01	1.740358e+01	
1.915000e+01	0	0	-1.938484e+01	-2.549607e+01	
1.920000e+01	0	0	5.184866e+00	2.553375e+00	
1.925000e+01	0	0	8.638432e+00	1.564823e+00	
1.930000e+01	0	0	3.683381e+00	9.032207e+00	
1.935000e+01	0	0	1.151294e+01	-2.973312e+01	
1.940000e+01	0	0	-3.220879e+01	1.023184e+01	
1.945000e+01	0	0	1.514549e+00	1.870822e+00	
1.950000e+01	0	0	-1.706055e+01	-1.738524e+01	
1.955000e+01	0	0	1.128853e+01	-5.741332e+00	
1.960000e+01	0	0	2.444151e+01	-9.833673e+00	
1.965000e+01	0	0	3.636139e+01	1.329829e+01	
1.970000e+01	0	0	-6.542554e-01	2.160051e+01	
1.975000e+01	0	0	-9.973502e+00	-2.887874e+01	
1.980000e+01	0	0	-5.596344e+00	6.665258e+00	
1.985000e+01	0	0	2.440374e+00	2.402240e+01	
1.990000e+01	0	0	-4.177266e+00	2.407644e+00	
1.995000e+01	0	0	-4.808918e+00	-3.011904e+00	
20	0	0	-6.746105e+00	1.009977e+00	
2.005000e+01	0	0	1.116126e+00	-1.444004e+01	
2.010000e+01	0	0	-2.158443e+01	-2.077326e+01	
2.015000e+01	0	0	-6.762628e+00	-6.321869e-01	
2.020000e+01	0	0	4.411081e+00	-6.615777e+00	
2.025000e+01	0	0	-4.762353e-01	-5.801962e+00	
2.030000e+01	0	0	-4.343655e+00	-1.625381e+01	
2.035000e+01	0	0	-8.132397e-01	-6.255980e+00	
2.040000e+01	0	0	2.657620e+00	-7.582069e+00	
2.045000e+01	0	0	-1.469104e+00	4.376863e+00	
2.050000e+01	0	0	-1.185079e+00	3.350200e+00	
2.055000e+01	0	0	-8.288344e-01	-9.903130e+00	
2.060000e+01	0	0	-1.106796e+01	-3.998324e+00	
2.065000e+01	0	0	-1.440469e+01	-4.463801e+00	
2.070000e+01	0	0	4.439703e+00	-1.741865e+01	
2.075000e+01	0	0	-2.446803e+01	-4.733623e+00	
2.080000e+01	0	0	1.575626e+00	-1.238354e+00	
2.085000e+01	0	0	-5.821128e+00	4.930192e+00	
2.090000e+01	0	0	1.979136e+01	1.011832e+01	
2.095000e+01	0	0	-8.480223e+00	9.476434e-02	
21	0	0	3.550730e+00	1.997418e+00	
2.105000e+01	0	0	-2.377416e+01	-4.371203e-01	
2.110000e+01	0	0	-5.056763e+00	-2.516276e+01	
2.115000e+01	0	0	4.736277e+00	-8.853930e+00	
2.120000e+01	0	0	4.358555e+00	1.256499e+01	
2.125000e+01	0	0	-4.594181e+00	-1.421672e+01	
2.130000e+01	0	0	-1.312453e+01	1.722454e+01	
2.135000e+01	0	0	1.745756e+01	2.374439e+00	
2.140000e+01	0	0	1.423855e+01	3.517944e+01	
2.145000e+01	0	0	5.782612e+00	-8.193947e+00	
2.150000e+01	0	0	-8.116005e+00	2.636197e+01	
2.155000e+01	0	0	8.392371e+00	5.052540e+00	
2.160000e+01	0	0	-6.900832e+00	6.208133e+00	
2.165000e+01	0	0	-8.742000e+00	1.023560e+01	
2.170000e+01	0	0	2.018634e+00	1.938953e+01	
